,year_film,year_ceremony,ceremony,category,name,film,winner
7444,1995,1996,68,ACTOR IN A SUPPORTING ROLE,Brad Pitt,12 Monkeys,False
7445,1995,1996,68,ACTOR IN A SUPPORTING ROLE,Tim Roth,Rob Roy,False
7446,1995,1996,68,ACTOR IN A SUPPORTING ROLE,Kevin Spacey,The Usual Suspects,True
7558,1996,1997,69,ACTOR IN A SUPPORTING ROLE,"Cuba Gooding, Jr.",Jerry Maguire,True
7559,1996,1997,69,ACTOR IN A SUPPORTING ROLE,William H. Macy,Fargo,False
7560,1996,1997,69,ACTOR IN A SUPPORTING ROLE,Armin Mueller-Stahl,Shine,False
7561,1996,1997,69,ACTOR IN A SUPPORTING ROLE,Edward Norton,Primal Fear,False
7562,1996,1997,69,ACTOR IN A SUPPORTING ROLE,James Woods,Ghosts of Mississippi,False
7673,1997,1998,70,ACTOR IN A SUPPORTING ROLE,Robert Forster,Jackie Brown,False
7674,1997,1998,70,ACTOR IN A SUPPORTING ROLE,Anthony Hopkins,Amistad,False
7675,1997,1998,70,ACTOR IN A SUPPORTING ROLE,Greg Kinnear,As Good as It Gets,False
7676,1997,1998,70,ACTOR IN A SUPPORTING ROLE,Burt Reynolds,Boogie Nights,False
7677,1997,1998,70,ACTOR IN A SUPPORTING ROLE,Robin Williams,Good Will Hunting,True
7788,1998,1999,71,ACTOR IN A SUPPORTING ROLE,James Coburn,Affliction,True
7789,1998,1999,71,ACTOR IN A SUPPORTING ROLE,Robert Duvall,A Civil Action,False
7790,1998,1999,71,ACTOR IN A SUPPORTING ROLE,Ed Harris,The Truman Show,False
7791,1998,1999,71,ACTOR IN A SUPPORTING ROLE,Geoffrey Rush,Shakespeare in Love,False
7792,1998,1999,71,ACTOR IN A SUPPORTING ROLE,Billy Bob Thornton,A Simple Plan,False
7902,1999,2000,72,ACTOR IN A SUPPORTING ROLE,Michael Caine,The Cider House Rules,True
7903,1999,2000,72,ACTOR IN A SUPPORTING ROLE,Tom Cruise,Magnolia,False
7904,1999,2000,72,ACTOR IN A SUPPORTING ROLE,Michael Clarke Duncan,The Green Mile,False
7905,1999,2000,72,ACTOR IN A SUPPORTING ROLE,Jude Law,The Talented Mr. Ripley,False
7906,1999,2000,72,ACTOR IN A SUPPORTING ROLE,Haley Joel Osment,The Sixth Sense,False
8012,2000,2001,73,ACTOR IN A SUPPORTING ROLE,Jeff Bridges,The Contender,False
8013,2000,2001,73,ACTOR IN A SUPPORTING ROLE,Willem Dafoe,Shadow of the Vampire,False
8014,2000,2001,73,ACTOR IN A SUPPORTING ROLE,Benicio Del Toro,Traffic,True
8015,2000,2001,73,ACTOR IN A SUPPORTING ROLE,Albert Finney,Erin Brockovich,False
8016,2000,2001,73,ACTOR IN A SUPPORTING ROLE,Joaquin Phoenix,Gladiator,False
8121,2001,2002,74,ACTOR IN A SUPPORTING ROLE,Jim Broadbent,Iris,True
